temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,season,good_for_running
17.0,8.9,0.0,36.5,winter,0
18.8,13.4,0.0,7.3,spring,1
15.4,12.4,6.9,38.7,fall,0
11.7,4.0,2.0,26.2,fall,1
14.3,9.8,0.0,31.8,winter,0
11.1,7.2,0.7,9.0,spring,1
17.4,9.6,0.0,22.8,winter,1
25.0,17.9,0.0,32.8,fall,0
14.0,9.7,0.8,37.1,winter,0
13.3,8.7,0.0,37.5,fall,0
19.9,11.3,8.0,11.6,fall,0
19.1,14.5,0.0,38.6,winter,0
17.6,10.4,0.0,27.0,spring,1
11.4,7.6,3.1,31.4,spring,0
16.8,8.9,0.0,39.5,fall,0
21.2,17.5,0.0,19.8,fall,1
8.9,2.8,0.0,42.5,summer,0
14.3,11.1,0.0,40.8,summer,0
5.6,-0.7,0.0,37.5,winter,0
9.3,1.2,0.0,18.7,fall,1
5.9,2.4,2.6,25.2,summer,0
15.6,11.0,0.0,9.6,winter,1
9.4,1.8,0.0,35.4,winter,0
18.6,12.0,0.2,41.2,fall,0
17.9,13.0,0.0,9.1,summer,1
15.9,9.1,0.1,34.8,summer,0
1.9,-3.8,0.0,32.5,winter,0
13.8,5.6,0.0,3.6,fall,1
16.7,11.9,0.0,42.3,spring,0
17.7,10.2,6.1,23.1,summer,0
7.8,1.0,0.0,13.8,spring,1
14.1,6.7,0.0,3.3,winter,1
11.1,5.8,0.0,36.4,spring,0
12.1,4.8,1.2,16.9,spring,1
23.4,16.2,0.0,24.6,summer,1
12.2,6.9,0.0,10.6,summer,1
16.8,13.6,1.3,28.7,winter,1
22.3,13.5,0.3,19.5,winter,1
13.5,6.2,1.3,37.5,fall,0
16.3,12.1,1.2,31.3,summer,0
17.7,10.3,4.4,33.8,spring,0
17.4,12.7,7.1,13.1,spring,0
9.6,3.8,3.0,4.8,summer,0
17.5,9.3,0.0,40.7,winter,0
25.2,19.5,0.3,43.2,fall,0
7.7,3.0,0.0,30.3,spring,0
22.2,17.4,11.1,42.6,summer,0
17.7,14.2,0.1,33.1,spring,0
13.2,8.9,0.0,28.7,winter,1
29.0,24.4,0.8,20.4,summer,0
21.6,17.6,0.0,17.6,spring,1
9.8,6.4,1.0,23.5,spring,1
17.4,11.6,0.0,11.8,fall,1
20.5,16.2,0.0,20.8,winter,1
15.9,8.5,4.5,24.3,summer,0
21.1,12.6,0.0,3.4,fall,1
16.6,12.0,0.0,19.3,summer,1
21.0,14.6,3.1,14.5,fall,0
25.6,19.6,0.0,29.9,winter,1
12.9,9.4,5.2,37.7,winter,0
18.2,14.5,1.4,29.0,winter,1
14.2,5.9,0.0,31.2,winter,0
17.8,12.0,0.0,29.0,summer,1
9.9,2.1,0.0,13.3,fall,1
13.5,10.1,0.0,18.6,winter,1
15.8,9.2,0.9,39.1,fall,0
22.4,14.2,0.0,43.6,summer,0
23.9,15.7,0.0,10.0,spring,1
9.1,6.1,0.0,2.5,winter,1
12.2,6.1,0.0,44.3,summer,0
20.9,15.7,0.0,39.8,spring,0
5.0,-2.6,0.1,28.7,summer,0
14.2,10.8,0.0,37.9,summer,0
